name,version_c,version_d,os,platform,removed,autosized,type,unit,value
audit_log_buffer_size,28,,all,all,0,0,integer,byte,"1048576"
audit_log_file,28,,all,all,0,0,file name,,"audit.log"
audit_log_flush,28,,all,all,0,0,boolean,,"OFF"
audit_log_format,34,,all,all,0,0,enumeration,,"OLD"
audit_log_policy,28,,all,all,0,0,enumeration,,"ALL"
audit_log_rotate_on_size,28,,all,all,0,0,integer,byte,"0"
audit_log_strategy,28,,all,all,0,0,enumeration,,"ASYNCHRONOUS"
authentication_windows_log_level,16,,Windows,all,0,0,integer,,"0"
authentication_windows_use_principal_name,16,,Windows,all,0,0,boolean,,"ON"
autocommit,0,,all,all,0,0,boolean,,"ON"
automatic_sp_privileges,0,,all,all,0,0,boolean,,"TRUE"
auto_increment_increment,0,,all,all,0,0,integer,,"1"
auto_increment_offset,0,,all,all,0,0,integer,,"1"
back_log,0,,all,all,0,0,integer,,"50"
big_tables,0,,all,all,0,0,boolean,,"OFF"
binlog_cache_size,0,,all,all,0,0,integer,byte,"32768"
binlog_direct_non_transactional_updates,2,,all,all,0,0,boolean,,"OFF"
binlog_format,0,,all,all,0,0,enumeration,,"STATEMENT"
binlog_stmt_cache_size,9,,all,all,0,0,integer,byte,"32768"
bulk_insert_buffer_size,0,,all,all,0,0,integer,byte,"8388608"
character_set_database,0,,all,all,0,0,string,,"latin1"
character_set_filesystem,0,,all,all,0,0,string,,"binary"
character_set_server,0,,all,all,0,0,string,,"latin1"
character_set_system,0,,all,all,0,0,string,,"utf8"
collation_database,0,,all,all,0,0,string,,"latin1_swedish_ci"
collation_server,0,,all,all,0,0,string,,"latin1_swedish_ci"
completion_type,0,,all,all,0,0,integer,,"0"
completion_type,3,,all,all,0,0,enumeration,,"NO_CHAIN"
concurrent_insert,0,,all,all,0,0,integer,,"1"
concurrent_insert,3,,all,all,0,0,enumeration,,"AUTO"
connect_timeout,0,,all,all,0,0,integer,second,"10"
datetime_format,0,,all,all,0,0,string,,"%Y-%m-%d %H:%i:%s"
date_format,0,,all,all,0,0,string,,"%Y-%m-%d"
debug,0,,Windows,all,0,0,string,,"d:t:i:O,\mysqld.trace"
debug,0,,Linux,all,0,0,string,,"d:t:i:o,/tmp/mysqld.trace"
default_storage_engine,0,,all,all,0,0,enumeration,,"MyISAM"
default_storage_engine,5,,all,all,0,0,enumeration,,"InnoDB"
default_week_format,0,,all,all,0,0,integer,,"0"
delayed_insert_limit,0,,all,all,0,0,integer,,"100"
delayed_insert_timeout,0,,all,all,0,0,integer,second,"300"
delayed_queue_size,0,,all,all,0,0,integer,,"1000"
delay_key_write,0,,all,all,0,0,enumeration,,"ON"
div_precision_increment,0,,all,all,0,0,integer,,"4"
engine_condition_pushdown,0,,all,all,0,0,boolean,,"ON"
event_scheduler,0,,all,all,0,0,enumeration,,"OFF"
expire_logs_days,0,,all,all,0,0,integer,day,"0"
external_user,7,,all,all,0,0,string,,"NULL"
